"Method","Path","Tags","OperationId","Auth","Params","BodySchema","Responses","Summary"
"GET","/api/events/{id}","Api","OrgBackendFeaturesEventsGetEventByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesEventsGetEventByIdResponse, 401, 403",
"PUT","/api/events/{id}","Api","OrgBackendFeaturesEventsUpdateEventEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesEventsUpdateEventRequest","200:#/components/schemas/OrgSharedFeaturesEventsEventDto, 401, 403",
"GET","/api/events/{id}/public","Api","OrgBackendFeaturesEventsGetPublicEventByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesEventsGetEventByIdResponse, 401, 403",
"POST","/api/events/{id}/restore","Api","OrgBackendFeaturesEventsRestoreEventEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesEventsEventDto, 401, 403",
"PUT","/api/events/{id}/visibility","Api","OrgBackendFeaturesEventsUpdateEventVisibilityEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesEventsUpdateEventVisibilityRequest","200:#/components/schemas/OrgSharedFeaturesEventsEventDto, 401, 403",
"GET","/api/events/public","Api","OrgBackendFeaturesEventsGetPublicEventsEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesEventsGetPublicEventsResponse, 401, 403",
"DELETE","/api/members/{id}","Api","OrgBackendFeaturesMembersDeleteMemberEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"PUT","/api/members/{id}/department","Api","OrgBackendFeaturesMembersUpdateMemberDepartmentEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesMembersUpdateMemberDepartmentRequest","200:#/components/schemas/OrgSharedFeaturesMembersMemberDto, 401, 403",
"PUT","/api/members/{id}/role","Api","OrgBackendFeaturesMembersUpdateMemberRoleEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesMembersUpdateMemberRoleRequest","200:#/components/schemas/OrgSharedFeaturesMembersMemberDto, 401, 403",
"DELETE","/api/milestones/{id}","Api","OrgBackendFeaturesMilestonesDeleteMilestoneEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"GET","/api/milestones/{id}","Api","OrgBackendFeaturesMilestonesGetMilestoneByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesMilestonesGetMilestoneByIdResponse, 401, 403",
"PUT","/api/milestones/{id}","Api","OrgBackendFeaturesMilestonesUpdateMilestoneEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesMilestonesUpdateMilestoneRequest","200:#/components/schemas/OrgSharedFeaturesMilestonesMilestoneDto, 401, 403",
"POST","/api/milestones/{id}/restore","Api","OrgBackendFeaturesMilestonesRestoreMilestoneEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesMilestonesMilestoneDto, 401, 403",
"GET","/api/milestones/{milestoneId}/categories","Api","OrgBackendFeaturesEventCategoriesGetEventCategoriesEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesEventCategoriesGetEventCategoriesResponse, 401, 403",
"POST","/api/milestones/{milestoneId}/categories","Api","OrgBackendFeaturesEventCategoriesCreateEventCategoryEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesEventCategoriesCreateEventCategoryRequest","200:#/components/schemas/OrgSharedFeaturesEventCategoriesEventCategoryDto, 401, 403",
"GET","/api/notifications","Api","OrgBackendFeaturesNotificationsGetNotificationsEndpoint","Anonymous/Inherited","(:integer); (:integer); (:boolean); (:string)","","200:#/components/schemas/OrgSharedFeaturesNotificationsGetNotificationsResponse, 401, 403",
"DELETE","/api/notifications/{id}","Api","OrgBackendFeaturesNotificationsDeleteNotificationEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"GET","/api/notifications/{id}","Api","OrgBackendFeaturesNotificationsGetNotificationByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesNotificationsGetNotificationByIdResponse, 401, 403",
"PUT","/api/notifications/{id}/read","Api","OrgBackendFeaturesNotificationsMarkAsReadEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesNotificationsMarkAsReadResponse, 401, 403",
"DELETE","/api/notifications/clear-all","Api","OrgBackendFeaturesNotificationsClearAllNotificationsEndpoint","Anonymous/Inherited","","#/components/schemas/OrgSharedFeaturesNotificationsClearNotificationsRequest","200:#/components/schemas/OrgSharedFeaturesNotificationsClearNotificationsResponse, 401, 403",
"PUT","/api/notifications/read-all","Api","OrgBackendFeaturesNotificationsMarkAllAsReadEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesNotificationsMarkAllAsReadResponse, 401, 403",
"GET","/api/notifications/unread-count","Api","OrgBackendFeaturesNotificationsGetUnreadCountEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesNotificationsGetUnreadCountResponse, 401, 403",
"GET","/api/organizations","Api","OrgBackendFeaturesOrganizationsGetOrganizationsEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesOrganizationsGetOrganizationsResponse, 401, 403",
"POST","/api/organizations","Api","OrgBackendFeaturesOrganizationsCreateOrganizationEndpoint","Anonymous/Inherited","","#/components/schemas/OrgSharedFeaturesOrganizationsCreateOrganizationRequest","200:#/components/schemas/OrgSharedFeaturesOrganizationsOrganizationDto, 401, 403",
"DELETE","/api/organizations/{id}","Api","OrgBackendFeaturesOrganizationsDeleteOrganizationEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"GET","/api/organizations/{id}","Api","OrgBackendFeaturesOrganizationsGetOrganizationByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesOrganizationsGetOrganizationByIdResponse, 401, 403",
"PUT","/api/organizations/{id}","Api","OrgBackendFeaturesOrganizationsUpdateOrganizationEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesOrganizationsUpdateOrganizationRequest","200:#/components/schemas/OrgSharedFeaturesOrganizationsOrganizationDto, 401, 403",
"POST","/api/organizations/{id}/members/{memberId}/role","Api","OrgBackendFeaturesOrganizationsAssignRoleToOrganizationMemberEndpoint","Anonymous/Inherited","(:string); (:string)","#/components/schemas/OrgSharedFeaturesOrganizationsAssignOrganizationRoleRequest","200:#/components/schemas/OrgSharedFeaturesMembersMemberDto, 401, 403",
"GET","/api/organizations/{id}/permissions","Api","OrgBackendFeaturesOrganizationsGetOrganizationPermissionsCatalogEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesOrganizationsGetOrganizationPermissionsCatalogResponse, 401, 403",
"GET","/api/organizations/{id}/permissions/me","Api","OrgBackendFeaturesOrganizationsGetOrganizationPermissionsMeEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesOrganizationsGetOrganizationPermissionsMeResponse, 401, 403",
"GET","/api/organizations/{id}/public-overview","Api","OrgBackendFeaturesOrganizationsGetPublicOrganizationOverviewEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesOrganizationsGetPublicOrganizationOverviewResponse, 401, 403",
"GET","/api/organizations/{id}/requests","Api","OrgBackendFeaturesRequestsGetOrganizationRequestsEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesRequestsGetOrganizationRequestsResponse, 401, 403",
"POST","/api/organizations/{id}/requests","Api","OrgBackendFeaturesRequestsCreateOrganizationRequestEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesRequestsCreateOrganizationRequestSubmissionRequest","200:#/components/schemas/OrgSharedFeaturesRequestsOrganizationRequestDto, 401, 403",
"POST","/api/organizations/{id}/restore","Api","OrgBackendFeaturesOrganizationsRestoreOrganizationEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesOrganizationsOrganizationDto, 401, 403",
"GET","/api/organizations/{id}/roles","Api","OrgBackendFeaturesOrganizationsGetOrganizationRolesEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesOrganizationsGetOrganizationRolesResponse, 401, 403",
"POST","/api/organizations/{id}/roles","Api","OrgBackendFeaturesOrganizationsCreateOrganizationRoleEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesOrganizationsUpsertOrganizationRoleRequest","200:#/components/schemas/OrgSharedFeaturesOrganizationsOrganizationRoleDto, 401, 403",
"GET","/api/organizations/{orgId}/departments","Api","OrgBackendFeaturesDepartmentsGetDepartmentsEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesDepartmentsGetDepartmentsResponse, 401, 403",
"GET","/api/organizations/{orgId}/events","Api","OrgBackendFeaturesEventsGetOrganizationEventsEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesEventsGetOrganizationEventsResponse, 401, 403",
"POST","/api/organizations/{orgId}/leave","Api","OrgBackendFeaturesMembersLeaveOrganizationEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"GET","/api/organizations/{orgId}/members","Api","OrgBackendFeaturesMembersGetMembersEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesMembersGetMembersResponse, 401, 403",
"POST","/api/organizations/{orgId}/members","Api","OrgBackendFeaturesMembersCreateMemberEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesMembersCreateMemberRequest","200:#/components/schemas/OrgSharedFeaturesMembersMemberDto, 401, 403",
"GET","/api/organizations/{orgId}/posts","Api","OrgBackendFeaturesPostsGetOrganizationPostsEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesPostsGetPostsResponse, 401, 403",
"GET","/api/organizations/default","Api","OrgBackendFeaturesOrganizationsGetDefaultOrganizationEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesOrganizationsGetDefaultOrganizationResponse, 401, 403",
"GET","/api/organizations/requests/{requestId}","Api","OrgBackendFeaturesRequestsGetOrganizationRequestByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesRequestsGetOrganizationRequestByIdResponse, 401, 403",
"POST","/api/organizations/requests/{requestId}/review","Api","OrgBackendFeaturesRequestsReviewOrganizationRequestEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesRequestsReviewOrganizationRequestSubmissionRequest","200:#/components/schemas/OrgSharedFeaturesRequestsOrganizationRequestDto, 401, 403",
"DELETE","/api/organizations/roles/{roleId}","Api","OrgBackendFeaturesOrganizationsDeleteOrganizationRoleEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"PUT","/api/organizations/roles/{roleId}","Api","OrgBackendFeaturesOrganizationsUpdateOrganizationRoleEndpoint","Anonymous/Inherited","(:string)","#/components/schemas/OrgSharedFeaturesOrganizationsUpsertOrganizationRoleRequest","200:#/components/schemas/OrgSharedFeaturesOrganizationsOrganizationRoleDto, 401, 403",
"POST","/api/posts","Api","OrgBackendFeaturesPostsCreatePostEndpoint","Anonymous/Inherited","","#/components/schemas/OrgSharedFeaturesPostsCreatePostRequest","200:#/components/schemas/OrgSharedFeaturesPostsOrganizationPostDto, 401, 403",
"DELETE","/api/posts/{id}","Api","OrgBackendFeaturesPostsDeletePostEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"GET","/api/posts/{id}","Api","OrgBackendFeaturesPostsGetPostByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesPostsGetPostByIdResponse, 401, 403",
"GET","/api/posts/discover","Api","OrgBackendFeaturesPostsGetDiscoverPostsEndpoint","Anonymous/Inherited","","","200:#/components/schemas/OrgSharedFeaturesPostsGetDiscoverPostsResponse, 401, 403",
"DELETE","/api/ratings/{id}","Api","OrgBackendFeaturesEventsDeleteEventRatingEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"DELETE","/api/tasks/{taskId}","Api","OrgBackendFeaturesTasksDeleteTaskEndpoint","Anonymous/Inherited","(:string)","","204, 401, 403",
"GET","/api/tasks/{taskId}","Api","OrgBackendFeaturesTasksGetTaskByIdEndpoint","Anonymous/Inherited","(:string)","","200:#/components/schemas/OrgSharedFeaturesTasksGetTaskByIdResponse, 401, 403",
