GET	/api/users/me	OrgBackendFeaturesUsersGetCurrentUserProfileEndpoint	Api
PUT	/api/users/me	OrgBackendFeaturesUsersUpdateCurrentUserProfileEndpoint	Api
GET	/api/users/me/organizations	OrgBackendFeaturesUsersGetMyOrganizationsEndpoint	Api
GET	/api/users/me/discover/organizations	OrgBackendFeaturesUsersGetSuggestedOrganizationsEndpoint	Api
GET	/api/users/{id}	OrgBackendFeaturesUsersGetUserByIdEndpoint	Api
PUT	/api/users/me/change-password	OrgBackendFeaturesUsersChangePasswordEndpoint	Api
POST	/api/users/batch	OrgBackendFeaturesUsersGetUserProfilesBatchEndpoint	Api
POST	/api/users/{id}/friend-request	OrgBackendFeaturesUsersSendFriendRequestEndpoint	Api
GET	/api/users/me/friend-requests	OrgBackendFeaturesUsersGetFriendRequestsEndpoint	Api
PUT	/api/users/me/friend-requests/{id}/accept	OrgBackendFeaturesUsersAcceptFriendRequestEndpoint	Api
DELETE	/api/users/me/friend-requests/{id}	OrgBackendFeaturesUsersRejectFriendRequestEndpoint	Api
GET	/api/users/me/friends	OrgBackendFeaturesUsersGetFriendsEndpoint	Api
DELETE	/api/users/me/friends/{id}	OrgBackendFeaturesUsersUnfriendEndpoint	Api
POST	/api/categories/{categoryId}/tasks	OrgBackendFeaturesTasksCreateTaskEndpoint	Api
GET	/api/categories/{categoryId}/tasks	OrgBackendFeaturesTasksGetTasksEndpoint	Api
GET	/api/tasks/{taskId}	OrgBackendFeaturesTasksGetTaskByIdEndpoint	Api
PUT	/api/tasks/{taskId}	OrgBackendFeaturesTasksUpdateTaskEndpoint	Api
DELETE	/api/tasks/{taskId}	OrgBackendFeaturesTasksDeleteTaskEndpoint	Api
PUT	/api/tasks/{taskId}/status	OrgBackendFeaturesTasksUpdateTaskStatusEndpoint	Api
PUT	/api/tasks/{taskId}/assign	OrgBackendFeaturesTasksUpdateTaskAssignEndpoint	Api
POST	/api/tasks/{taskId}/restore	OrgBackendFeaturesTasksRestoreTaskEndpoint	Api
GET	/api/organizations/{id}/requests	OrgBackendFeaturesRequestsGetOrganizationRequestsEndpoint	Api
POST	/api/organizations/{id}/requests	OrgBackendFeaturesRequestsCreateOrganizationRequestEndpoint	Api
GET	/api/organizations/requests/{requestId}	OrgBackendFeaturesRequestsGetOrganizationRequestByIdEndpoint	Api
POST	/api/organizations/requests/{requestId}/review	OrgBackendFeaturesRequestsReviewOrganizationRequestEndpoint	Api
